{app_name:'VCReg', level:debug, message:Morgan Stream | GET /example/static 200 45 - 8.735 ms, process_id:0, timestamp: 2024-09-03T13:42:35.201Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /rent-manager-app 404 1649 - 591.752 ms, process_id:0, timestamp: 2024-09-03T13:56:46.144Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /stylesheets/style.css 404 1649 - 28.697 ms, process_id:0, timestamp: 2024-09-03T13:56:46.205Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 22.145 ms, process_id:0, timestamp: 2024-09-03T13:58:15.144Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 12.656 ms, process_id:0, timestamp: 2024-09-03T13:58:15.160Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 12.722 ms, process_id:0, timestamp: 2024-09-03T13:58:18.136Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 29.913 ms, process_id:0, timestamp: 2024-09-03T13:58:18.152Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 11.363 ms, process_id:0, timestamp: 2024-09-03T13:58:23.140Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 24.869 ms, process_id:0, timestamp: 2024-09-03T13:58:23.154Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 10.244 ms, process_id:0, timestamp: 2024-09-03T13:58:32.131Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 12.307 ms, process_id:0, timestamp: 2024-09-03T13:58:32.146Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 13.019 ms, process_id:0, timestamp: 2024-09-03T13:58:49.149Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 24.583 ms, process_id:0, timestamp: 2024-09-03T13:58:49.161Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 12.552 ms, process_id:0, timestamp: 2024-09-03T13:59:22.144Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 11.622 ms, process_id:0, timestamp: 2024-09-03T13:59:22.159Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 10.153 ms, process_id:0, timestamp: 2024-09-03T14:00:27.126Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 12.515 ms, process_id:0, timestamp: 2024-09-03T14:00:27.142Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 436.700 ms, process_id:0, timestamp: 2024-09-03T14:02:36.569Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 19.596 ms, process_id:0, timestamp: 2024-09-03T14:02:36.594Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 14.249 ms, process_id:0, timestamp: 2024-09-03T14:06:53.134Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /ws 404 1649 - 28.142 ms, process_id:0, timestamp: 2024-09-03T14:06:53.149Z}
{app_name:'VCReg', level:debug, message:ad7966f8 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:14:33.846Z}
{app_name:'VCReg', level:debug, message:f17ead70 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:14:43.007Z}
{app_name:'VCReg', level:debug, message:66f19ff5 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:19:56.232Z}
{app_name:'VCReg', level:debug, message:9e51bc24 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:22:25.604Z}
{app_name:'VCReg', level:debug, message:ff9f16c8 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:22:28.922Z}
{app_name:'VCReg', level:debug, message:085fe5cc | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:24:17.562Z}
{app_name:'VCReg', level:debug, message:085fe5cc | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:24:21.188Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 994 - 7945.763 ms, process_id:0, timestamp: 2024-09-03T14:24:21.193Z}
{app_name:'VCReg', level:debug, message:56e4b5f5 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:24:22.947Z}
{app_name:'VCReg', level:debug, message:56e4b5f5 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:24:24.951Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 304 - - 3758.591 ms, process_id:0, timestamp: 2024-09-03T14:24:24.956Z}
{app_name:'VCReg', level:debug, message:e96d6a74 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:35:43.818Z}
{app_name:'VCReg', level:debug, message:e96d6a74 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:35:59.021Z}
{app_name:'VCReg', level:debug, message:406a730c | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:37:21.068Z}
{app_name:'VCReg', level:debug, message:7e6a0a83 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:37:59.519Z}
{app_name:'VCReg', level:debug, message:7e6a0a83 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:38:04.419Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /api/employees-in-training 200 3920173 - 4984.594 ms, process_id:0, timestamp: 2024-09-03T14:38:04.503Z}
{app_name:'VCReg', level:debug, message:92a08097 | Request to Retrieve Assets Hit, process_id:0, timestamp: 2024-09-03T14:38:04.510Z}
{app_name:'VCReg', level:debug, message:92a08097 | Request for Assets Complete, process_id:0, timestamp: 2024-09-03T14:38:09.220Z}
